id,naslov,avtor_id,avtor,leto,ocena,st_ocen,st_kritik
19104,The Overcoat and Other Short Stories,232932,Nikolai Gogol,1842,4.22,8889,230
103086,The Man Who Would Be King,6989,Rudyard Kipling,1888,3.73,9618,463
304,Daniel Deronda,173,George Eliot,1876,3.83,21025,814
325916,Miss Julie,6815,August Strindberg,1888,3.51,9872,294
942337,Wilhelm Tell,1399243,Friedrich Schiller,1804,3.36,4129,78
194373,"The Memoirs of Sherlock Holmes (Sherlock Holmes, #4)",2448,Arthur Conan Doyle,1894,4.32,72182,1637
78249,Don Juan,44407,Lord Byron,1819,3.79,6932,211
329866,The Dream of a Ridiculous Man,3137322,Fyodor Dostoyevsky,1877,4.04,10812,1384
429024,The Old Curiosity Shop,239579,Charles Dickens,1840,3.77,15222,921
2823,The Birth of Tragedy,1938,Friedrich Nietzsche,1871,3.98,10870,368
141077,The Kreutzer Sonata,128382,Leo Tolstoy,1889,3.9,15472,892
54620,Mary Barton,1413437,Elizabeth Gaskell,1848,3.72,15072,766
18478222,Twelve Years a Slave,96426,Solomon Northup,1853,4.17,75633,5475
1772910,White Nights,3137322,Fyodor Dostoyevsky,1848,4.04,31447,2219
73960,Lorna Doone,545254,R.D. Blackmore,1869,3.72,13755,558
388223,The Prince of Thieves (Tales of Robin Hood by Alexandre Dumas #1),4785,Alexandre Dumas,1862,4.02,15938,91
374352,"Phineas Finn (Palliser, #2)",20524,Anthony Trollope,1865,3.97,5755,270
144463,The Small House at Allington (Chronicles of Barsetshire #5),20524,Anthony Trollope,1864,4.04,3782,259
87265,Quincas Borba ,22458,Machado de Assis,1891,3.94,2746,76
261240,The Cask of Amontillado,4624490,Edgar Allan Poe,1846,4.09,54471,1160
31168,Shirley,1036615,Charlotte Brontë,1849,3.74,27841,827
204779,The Masque of the Red Death,4624490,Edgar Allan Poe,1842,4.08,22786,768
32586,Mysteries,18317,Knut Hamsun,1892,4.1,4735,308
269936,Penthesilea: A Tragic Drama,54427,Heinrich von Kleist,1808,3.93,492,14
32831,"The Mysterious Island (Extraordinary Voyages, #12)",696805,Jules Verne,1865,4.09,38087,1372
20563,Adam Bede,173,George Eliot,1859,3.78,21360,750
196970,The Night Before Christmas,64709,Clement C. Moore,1823,4.37,100299,1719
734914,Hans Christian Andersen's Fairy Tales: Selected and Illustrated by Lisbeth Zwerger,34636,Lisbeth Zwerger,2006,4.41,1768,25
442296,Effi Briest,68613,Theodor Fontane,1894,3.24,7700,310
77270,The Jungle Book,6989,Rudyard Kipling,1893,3.94,90429,2820
543164,The Blue Fairy Book,18393,Andrew Lang,1887,4.07,8370,304
93981,The Interpretation of Dreams,10017,Sigmund Freud,1899,3.82,51857,845
397,The Gettysburg Address,229,Abraham Lincoln,1947,4.53,5903,141
2834,Pudd'nhead Wilson/Those Extraordinary Twins,1244,Mark Twain,1893,3.95,4657,154
2443,The Innocents Abroad,1244,Mark Twain,1869,3.86,10006,831
675037,The Odd Women,4532116,George Gissing,1893,3.77,3874,213
28413,The Ladies' Paradise (Les Rougon-Macquart #11),4750,Émile Zola,1883,3.98,9413,684
779021,The Happy Prince and Other Tales,3565,Oscar Wilde,1888,4.14,12150,716
329803,The Insulted and Humiliated,3137322,Fyodor Dostoyevsky,1861,4.22,11156,755
571938,Woyzeck,94147,Georg Büchner,1837,3.34,6977,195
543686,Rob Roy,4345,Walter Scott,1817,3.7,8227,279
163716,The Complete Fairy Tales,3565,Oscar Wilde,1891,4.33,10574,306
387749,Ben-Hur: A Tale of the Christ,16104262,Lew Wallace,1880,4.03,30151,881
18304,The Anti-Christ,1938,Friedrich Nietzsche,1895,3.92,17255,741
42641,Resurrection,128382,Leo Tolstoy,1899,4.11,13980,830
1118206,Fortunata and Jacinta,25574,Benito Pérez Galdós,1887,4.11,959,62
59144,Cousin Bette,228089,Honoré de Balzac,1846,3.84,7257,406
47061,Twice-Told Tales,7799,Nathaniel Hawthorne,1837,3.89,2498,105
275247,Little Lord Fauntleroy,2041,Frances Hodgson Burnett,1886,3.83,16745,785
7184,Twenty Years After (The D'Artagnan Romances #2),4785,Alexandre Dumas,1845,4.02,18159,506
721012,The Legend of Sleepy Hollow and Other Stories,28525,Washington Irving,1819,3.94,49573,581
538871,The Doll,297006,Bolesław Prus,1890,3.79,6316,93
335397,Two Years Before the Mast: A Sailor's Life at Sea,192314,Richard Henry Dana Jr.,1840,3.97,11119,577
157685,"Maldoror = Les Chants de Maldoror, together with a translation of Lautréamont's Poésies",153341,Comte de Lautréamont,1869,4.19,2809,162
774846,The Great God Pan,33546,Arthur Machen,1894,3.76,7309,635
116020,Walden &amp; Civil Disobedience,10264,Henry David Thoreau,2004,3.95,32034,920
462182,Rip Van Winkle,28525,Washington Irving,1819,3.6,10118,409
920649,An Occurrence at Owl Creek Bridge,14403,Ambrose Bierce,1890,4.02,17959,550
604578,The Captain's Daughter,16070,Alexander Pushkin,1836,3.82,11862,628
93180,The Manuscript Found in Saragossa,53464,Jan Potocki,1814,4.15,2219,196
3301759,The Murders in the Rue Morgue,4624490,Edgar Allan Poe,1841,3.91,20104,796
19506,"The World as Will and Representation, Volume 1",11682,Arthur Schopenhauer,1818,4.18,7297,137
168655,McTeague,82926,Frank Norris,1899,3.68,5007,465
267104,He Knew He Was Right,20524,Anthony Trollope,1869,3.85,5332,148
